#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
1M pop",Population
68,Costa Rica,16344,,125,,"3,920","12,299",53,3206,25,81266,15942,5097587
69,El Salvador,15841,395,430,13,"8,071","7,340",487,2441,66,234086,36076,6488711
70,Czechia,15799,,374,,"11,428","3,997",16,1475,35,668117,62379,10710532
71,Ivory Coast,15713,,98,,"10,537","5,078",,595,4,96768,3662,26421839
72,Australia,15580,276,176,9,"9,431","5,973",46,610,7,4069613,159458,25521591
73,Ethiopia,15200,,239,,"6,526","8,435",66,132,2,395851,3438,115153500
74,S. Korea,14251,48,300,,"13,069",882,12,278,6,1547307,30178,51272651
75,Denmark,13577,,613,,"12,451",513,3,2343,106,1470568,253818,5793779
76,Sudan,11496,,725,,"6,001","4,770",,262,17,401,9,43918294
77,Palestine,10938,,79,,"3,752","7,107",,2141,15,155355,30406,5109416
78,Bulgaria,10871,,355,,"5,766","4,750",40,1565,51,248429,35775,6944133
79,Bosnia and Herzegovina,10766,,297,,"5,220","5,249",,3283,91,132646,40451,3279149
80,North Macedonia,10315,,471,,"5,663","4,181",55,4951,226,97550,46823,2083367
81,Madagascar,10104,,93,,"6,613","3,398",103,364,3,39415,1421,27738146
82,Senegal,9805,,198,,"6,591","3,016",50,585,12,106267,6336,16772989
83,Norway,9150,,255,,"8,752",143,2,1687,47,430546,79372,5424430
84,Malaysia,8956,13,124,,"8,612",220,2,276,4,937645,28943,32396175
85,DRC,8931,58,210,2,"6,095","2,626",,100,2,,,89734926
86,French Guiana,7562,,43,,"6,106","1,413",28,25275,144,37499,125333,299194
87,Finland,7414,10,329,,"6,920",165,,1338,59,349097,62998,5541393
88,Haiti,7371,31,158,,"4,467","2,746",,646,14,17292,1515,11412686
89,Tajikistan,7276,,60,,"6,065","1,151",,762,6,,,9552188
90,Gabon,7189,,49,,"4,682","2,458",11,3225,22,70059,31427,2229268
91,Guinea,7126,,46,,"6,312",768,24,542,3,14407,1095,13156113
92,Luxembourg,6375,,113,,"4,855","1,407",5,10172,180,410443,654926,626701
93,Mauritania,6249,,156,,"4,683","1,410",3,1342,33,57253,12292,4657712
94,Djibouti,5068,,58,,"4,992",18,,5124,59,56721,57350,989033
95,Zambia,5002,,142,,"3,195","1,665",18,272,8,79269,4304,18417419
96,Albania,4997,,148,,"2,789","2,060",17,1737,51,34477,11981,2877547
97,Croatia,4923,,140,,"4,034",749,9,1200,34,114090,27805,4103196
98,Paraguay,4674,,45,,"3,039","1,590",8,655,6,120943,16941,7138936
99,CAR,4599,,59,,"1,546","2,994",2,951,12,29379,6075,4835685
100,Hungary,4465,9,596,,"3,339",530,6,462,62,333446,34524,9658385
101,Greece,4279,,203,,"1,374","2,702",8,411,19,457540,43914,10418919
102,Lebanon,4023,,54,,"1,710","2,259",33,590,8,276797,40568,6822968
103,Malawi,3709,,103,,"1,667","1,939",4,194,5,27667,1444,19162643
104,Nicaragua,3672,,116,,"2,492","1,064",,554,17,,,6630325
105,Maldives,3506,,15,,"2,547",944,12,6478,28,75550,139594,541214
106,Thailand,3298,1,58,,"3,111",129,1,47,0.8,717814,10282,69813599
107,Somalia,3212,,93,,"1,562","1,557",2,202,6,,,15922067
108,Congo,3200,,54,,829,"2,317",,579,10,,,5527156
109,Equatorial Guinea,3071,,51,,842,"2,178",,2184,36,16000,11381,1405862
110,Libya,3017,,67,,579,"2,371",,439,10,50034,7274,6878055
111,Hong Kong,3003,118,24,1,"1,527","1,452",39,400,3,524969,69981,7501547
112,Montenegro,2949,,45,,839,"2,065",7,4695,72,34210,54468,628072
113,Mayotte,2900,,38,,"2,672",190,1,10613,139,13000,47574,273256
114,Zimbabwe,2817,,40,,604,"2,173",,189,3,124194,8347,14878480
115,Sri Lanka,2810,,11,,"2,317",482,1,131,0.5,153065,7146,21420160
116,Cuba,2555,,87,,"2,352",116,1,226,8,253761,22405,11326068
117,Mali,2520,,124,,"1,919",477,,124,6,22011,1085,20288499
118,Eswatini,2404,,39,,"1,025","1,340",5,2071,34,20784,17901,1161053
119,Cabo Verde,2354,,22,,"1,616",716,,4231,40,41634,74823,556432
120,South Sudan,2305,,46,,"1,175","1,084",,206,4,12044,1075,11203346
121,Slovakia,2245,41,28,,"1,660",557,2,411,5,257535,47169,5459850
122,Slovenia,2115,14,117,,"1,742",256,4,1017,56,128814,61961,2078961
123,Lithuania,2043,16,80,,"1,643",320,6,751,29,511462,188103,2719048
124,Estonia,2042,4,69,,"1,926",47,1,1539,52,117892,88867,1326605
125,Guinea-Bissau,1954,,26,,803,"1,125",5,991,13,1500,761,1971130
126,Rwanda,1926,,5,,"1,005",916,,148,0.4,251815,19410,12973627
127,Namibia,1917,,8,,104,"1,805",24,753,3,24325,9561,2544131
128,Iceland,1857,,10,,"1,823",24,,5439,29,127097,372270,341411
129,Sierra Leone,1786,,66,,"1,336",384,,224,8,,,7988172
130,Benin,1770,,35,,"1,036",699,1,146,3,85863,7070,12144141
131,Mozambique,1720,,11,,602,"1,107",,55,0.4,54081,1727,31312346
132,Yemen,1703,,484,,840,379,,57,16,120,4,29870706
133,New Zealand,1559,2,22,,"1,514",23,,312,4,460067,91975,5002100
134,Suriname,1510,,24,,965,521,11,2572,41,1331,2267,587024
135,Tunisia,1468,,50,,"1,168",250,3,124,4,91256,7715,11827762
136,Latvia,1224,4,31,,"1,052",141,,650,16,195331,103654,1884446
137,Uruguay,1218,,35,,958,225,7,351,10,107321,30887,3474661
138,Jordan,1182,,11,,"1,042",129,3,116,1,577754,56583,10210649
139,Liberia,1177,,72,,646,459,,232,14,,,5065687
140,Georgia,1155,10,16,,929,210,5,290,4,214043,53664,3988556
141,Uganda,1135,,2,,989,144,,25,0.04,264162,5764,45832159
142,Niger,1132,,69,,"1,027",36,,47,3,9052,373,24259754
143,Burkina Faso,1105,,53,,926,126,,53,3,,,20940705
144,Cyprus,1067,,19,,852,196,,883,16,196479,162645,1208022
145,Angola,1000,,47,,266,687,15,30,1,59052,1793,32931042
146,Chad,926,,75,,810,41,,56,5,,,16456328
147,Andorra,907,,52,,803,52,,11737,673,3750,48528,77275
148,Togo,896,,18,,612,266,2,108,2,41245,4974,8291798
149,Sao Tome and Principe,867,,14,,759,94,,3951,64,2823,12864,219443
150,Jamaica,855,2,10,,724,121,,289,3,37210,12562,2962161
